"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"141","26055","+12122551980","GeL6wGdzhdEhuIFQau3ocQ","3.5","236","40.7330017","-74.002915","$$"
"142","6603","+12122652060","Pqp-Ew5hPcsjlU-g_OFheA","3","101","40.7330017","-74.0028447","$$"
"143","7419","+17185735276","OqNmjwzab3PgoljApoimoQ","2.5","74","40.7328414916992","-74.0031981468201","$$"
"144","20973","+17188371688","-olla_BldF5Y84I9ezRNdA","4","707","40.760952","-73.9903269","$$"
"145","10767","+19174787667","Ypz7j5vm0kZ2XqpjGjbHNw","3.5","81","40.608487","-74.005194","$$"
"146","11664","+12127728861","Okbtt-ISFB3kuoxkl2wVgg","5","84","40.77682","-73.95698","$$"
"147","16782","+16468959581","UkhDjycM5q0ZFKQ2yQ-MDg","4","62","40.78379","-73.95075","$$"
"148","5228","+17184418441","jD2iqANu6vJiPgZBmN8VeQ","3.5","61","40.6963294","-73.8376707","$$"
"149","3552","+17187929322","_MdcKSBa8MHaZaraX3LSAw","2.5","15","40.8362159729004","-73.8607940673828","$$"
"150","8294","+19176748956","NXZFu7KHBrG02gzYneY5Xg","4","583","40.7266856651479","-73.9862178981476","$"
"151","18836","+12125564707","B-LNi9zPu_lKoEuF0JxoOw","3.5","31","40.726746","-73.986328","$$"
"152","5164","+12127776677","LBrc4YdEpZRb7k-6WsaM1Q","3.5","82","40.726746","-73.986328","$"
"153","12107","+17188637900","rN347NNwQ0hDSlbedzI9BQ","4","217","40.84362","-73.84565","$$"
"154","4440","+17182374008","CLMuQnT3rFfyCpaB33AHLw","3.5","74","40.8435287","-73.8458328","$$"
"155","12648","+12125183265","V4C5SzWmNkgPMjiCfEZ41g","3.5","88","40.6930084228516","-73.971435546875","$$"
"156","12120","+17182633663","vS27atIOccWbH1gV9r9Cbw","3","48","40.7325323063901","-73.8251262791069","$$"
"157","11730","+13477992946","iS4ftYrz_XEUABd8wTtvBw","3.5","122","40.7217559814453","-73.9583358764648","$$"
"158","10910","+17186220249","500Zd8FSjLrfmnFc2PttNw","3","101","40.7215777","-73.9582459","$$"
"159","13372","+16464845519","VPdOoSHjOB0kdlLH6iAFDA","4","443","40.671705","-73.957887","$$$"
"160","3609","+12125440406","H0v1Xzy5OArSm5km58UJbQ","3.5","41","40.6716995","-73.9578781","$"
"161","10773","+12125643330","8so25MhnhSNRlL_4ZBtxiA","2.5","22","40.7294663610821","-73.97860922652","$$$"
"162","15272","+13473305970","sk7oNG7cT6Q21Wc4OCAi-w","3","135","40.86612","-73.92771","$$$"
"163","9334","+12122136519","4aXPYKWBBpjDmkr9drsZ2g","4","113","40.751049","-74.0020523","$$$"
"164","4056","+17186244075","7N9-NBlUEVll97PrSFYv-Q","2.5","46","40.743839","-73.988846","$$"
"165","4308","+12127254300","2tY5YZJvcIHWZZzC1wQUMg","4.5","64","40.6898958381239","-73.9722776709226","$$"
"166","15438","+12122493766","C8TtpuOxZspjB2E1x32qhg","3.5","197","40.6898959726095","-73.9722776412964","$$"
"167","24990","+12129242203","V6xlMNLFTsxB4W0VVcRK_Q","3","3217","40.7440395","-73.9881258","$$"
"168","5520","+17188229828","Xfx5MCkghFKEWZ8umGMpIA","3.5","148","40.774562","-73.948486","$"
"169","902","+17182512262","Z_ixLnZBb_EhJVsqZ-5AlA","2.5","98","40.62625","-73.91758","$$$"
"170","8492","+17184236111","aIr_JMfamoD0_0YTQzp6Zg","4","5","40.7812608623933","-73.7781598267059","$$"
"171","6598","+12127772410","yi6jIxzHo-nbAOG4KWuqcw","4","1307","40.738437","-73.985686","$"
"172","3739","+17182978885","KhRXiXpbzXLmf0ALmNbApw","5","2","40.703769","-73.797097","$$"
"173","20503","+17183993320","rnPIuhjGCR09SlgpGUzIKA","4.5","765","40.7773391","-73.9830499","$"
"174","14368","+12128758600","lnD1fRfkMcVP_1WQ-cW4og","3.5","83","40.777420476079","-73.9829756319523","$$"
"175","1236","+17183724352","-jOig2IOsKGbwwsECmirEw","3.5","100","40.7773391","-73.9830499","$$$"
"176","17056","+17184873590","tH2hhV8xSfpCNW7r71hJMA","3.5","6","40.5960899","-73.98249","$"
"177","5252","+17187881444","TxwvV2KGDRWpAc6AvIsEBg","3.5","21","40.722908","-73.7997055","$$"
"178","1655","+12123529800","NtBiQJft-e7pq_lSAshozg","3.5","133","40.7229064","-73.7997061",NA
