"","camis_ls","phone_ls"
"525","24007","+19292447006"
"526","10060","+19176186310"
"527","18897","+19177551770"
"528","23481","+12126755096"
"529","26904","+17188287810"
"530","24137","+17186733451"
"531","21269","+17185766973"
"532","6771","+12126772290"
"533","25329","+13474042577"
"534","5130","+17183329414"
"535","22049","+16463311784"
"536","19817","+13479966840"
"537","25063","+16465906001"
"538","1020","+12125867610"
"539","19109","+13473505110"
"540","21968","+19147153029"
"541","20895","+13473375020"
"542","6591","+17189681173"
"543","12678","+12124600004"
"544","26911","+17183519333"
"545","25405","+19179299099"
"546","27022","+13478368713"
"547","25506","+13472855594"
"548","3105","+13477398410"
"549","23272","+17188736520"
"550","26883","+15164727100"
"551","22162","+19176539533"
"552","25442","+17183664100"
"553","26490","+17182943508"
"554","25495","+17188988868"
"555","26917","+17182246030"
"556","21182","+19174095940"
"557","26039","+18579398630"
"558","19281","+19176090241"
"559","26971","+19179201805"
"560","20053","+12122560701"
"561","4853","+17183766770"
"562","26725","+16467854156"
"563","26582","+17182660600"
"564","26736","+19178326881"
"565","25771","+12122062512"
"566","26519","+17187920090"
"567","6168","+17185958126"
"568","10976","+13475821075"
"569","18956","+19174050389"
"570","22785","+15165577197"
"571","24244","+19179026809"
"572","25111","+17188726773"
"573","2381","+17187683410"
"574","18832","+17185130595"
"575","4242","+17183722592"
"576","25959","+16464236907"
"577","26162","+19172616055"
"578","20922","+12124888885"
"579","1349","+17183295240"
"580","16066","+12124322232"
"581","24111","+16469303021"
"582","19861","+13478980796"
"583","22724","+19172614040"
"584","25880","+17185233200"
"585","25289","+17184638238"
"586","24733","+12122472527"
"587","2087","+12122920150"
"588","17085","+17185958192"
"589","17194","+16466570045"
"590","22373","+17187153365"
"591","24626","+19084516718"
"592","25112","+17182921801"
"593","26507","+12129200156"
"594","14128","+17184742500"
"595","22331","+12125447675"
"596","22715","+17182387100"
"597","3201","+12125319797"
"598","4518","+17186573537"
"599","19332","+19176857717"
"600","22539","+16468959586"
"601","22295","+12129441372"
"602","25659","+13473659800"
"603","26185","+16319881169"
"604","23006","+17183222167"
"605","21670","+17184408700"
"606","8740","+12127574477"
"607","5114","+17188940907"
"608","25340","+19294073935"
"609","23878","+12122811060"
"610","26437","+19179232338"
"611","25648","+13479220230"
"612","26666","+12022706688"
"613","25250","+15164597400"
"614","23885","+12129221900"
"615","2251","+17183510600"
"616","21900","+19292599836"
"617","16046","+12124656273"
"618","26986","+16463268543"
"619","21822","+19179309369"
"620","15728","+17182326191"
"621","18472","+15164106172"
"622","22310","+17183393300"
"623","2841","+17186226395"
"624","22550","+14153176266"
"625","24514","+13477324797"
"626","19389","+19177023001"
"627","22356","+16465651287"
"628","26781","+17189801189"
"629","16081","+12124656302"
"630","10977","+19176558638"
"631","22368","+16468827370"
"632","26718","+15314257337"
"633","23656","+19173188514"
"634","27017","+12128069000"
"635","22986","+17183998226"
"636","22505","+17183384709"
"637","22543","+17186810559"
"638","23179","+19176316347"
"639","26955","+19293814017"
"640","24000","+16465949646"
"641","27016","+17183211738"
"642","23555","+17182353073"
"643","16388","+13473803647"
"644","23373","+19178290840"
"645","23047","+12124885810"
"646","20945","+19178822898"
"647","16883","+17182220090"
"648","24412","+17182821437"
"649","20130","+12129818588"
"650","26875","+16462581306"
"651","26346","+13476633674"
"652","25940","+12123601988"
"653","26015","+12013492540"
"654","20151","+19089025905"
"655","26613","+12123278626"
"656","19370","+19172658430"
"657","2081","+12127048900"
"658","25812","+19178227252"
"659","25406","+15082081825"
"660","19502","+17043284036"
"661","16123","+12124656273"
"662","8075","+12124857485"
"663","21297","+17184808686"
"664","23333","+19178680763"
"665","26639","+13474894135"
"666","10464","+19179024851"
"667","9025","+12124777771"
"668","19913","+12125244104"
"669","24876","+13477709051"
"670","22195","+12126270900"
"671","26512","+19175973789"
"672","25246","+19172615962"
"673","18549","+19172785700"
"674","26797","+19292502244"
"675","23636","+16467191600"
"676","10819","+17186879954"
"677","25865","+16468692746"
"678","16028","+12124656273"
"679","20159","+12038144405"
"680","26504","+12124641919"
"681","23489","+16462151100"
"682","26194","+13479470005"
"683","21926","+17185858665"
"684","25752","+17188515888"
"685","751","+12125332627"
"686","22130","+17188833919"
"687","22298","+19294196988"
"688","12911","+16466570066"
"689","26157","+16464629340"
"690","16050","+12124656310"
"691","22708","+16467558586"
"692","24707","+16464042762"
"693","1810","+17186931740"
"694","10176","+12128239482"
"695","25724","+16463988000"
"696","26837","+15169938050"
"697","20046","+17184500886"
"698","8268","+17187560699"
"699","25368","+15082081825"
"700","26901","+19179758153"
"701","22696","+17185248531"
"702","24971","+12127306740"
"703","24850","+13479873841"
"704","18902","+17189081342"
"705","23949","+13474958643"
"706","8899","+17188270166"
"707","23801","+12126159700"
"708","24503","+12122530568"
"709","22496","+19179699399"
"710","26306","+16463991037"
"711","23390","+12127955841"
"712","24004","+13479526934"
"713","3644","+12129696179"
"714","24585","+19174782032"
"715","19860","+16463879615"
"716","21231","+12128747774"
"717","26881","+15164727100"
"718","25843","+19179666094"
"719","25997","+13472658602"
"720","23060","+19292950060"
"721","26603","+19173922236"
"722","20335","+16467191239"
"723","21661","+12062250663"
"724","22243","+18563667052"
"725","21883","+13476938811"
"726","24299","+16468942162"
"727","25847","+13475060046"
"728","13297","+17186246688"
"729","3171","+17182270494"
